AT,GQ,HB,HD,HF,HG,HI,HM,HO,HQ,HV,HX,HY,IA,ID,IF,IH,IN,IR,LC,LE,LG,LH,LI,NI,OT,SF,TL,UW,WT,YU,AAN,ACE,GC
1000.361331,0,1488,1430,33,11,38,373,1107,1081,60.450859,1081.737191,1051.80948,309,710,1305,101,20,1023,677,258,213,5.559906,11,158,70,62,34,30,23,1,829.339988,1151.951436,-1.511857
1945.719811,0,668,638,30,360,76,259,671,429,100,909.022698,895.905213,91,271,610,65,30,336,517,440,574,35.475896,118,106,100,74,124,54,50,1,635.057247,512.853675,-2.895442
2984.536165,30,10006,9606,179,212,553,2907,7464,7254,100,1101.016163,1057.184605,1746,5399,7514,593,775,6378,7896,6024,7487,29.780041,1101,1270,1204,952,1999,1074,683,0,5636.848484,4955.564326,6.386778
3451.123623,0,5856,5650,128,72,475,1550,4171,4007,100,1118.040749,1063.527435,1022,3887,3602,360,419,3506,4687,3455,3901,26.860841,532,1034,868,508,760,517,497,0,3248.611797,2876.313593,6.660411
1775.92714,120,15541,14988,523,299,492,3910,11457,12144,60.223091,1143.100953,1066.146037,3708,5919,14805,1077,619,11923,12299,7220,7693,17.859133,708,1982,1936,1360,918,626,415,0,8398.789497,11402.89219,17.696801
325.668147,0,1243,1183,0,6,28,367,982,959,29.26361,1106.616216,1044.660225,265,268,1506,93,28,926,460,101,52,1.600985,0,82,72,44,20,11,6,0,690.336658,793.820506,3.366804
1714.274501,0,2339,2376,0,0,81,471,1391,1659,84.494118,1133.335929,1102.239454,356,1643,1414,97,227,1487,1249,529,550,9.812667,34,212,144,90,103,54,40,0,952.078617,1647.629171,-0.064199
2714.175115,0,2711,2609,9,48,140,841,2089,1952,100,1106.894552,1055.829575,442,1551,1962,138,170,1808,2115,1717,2080,30.534351,387,376,316,226,390,390,291,0,1647.691129,1284.613764,5.902697
3057.772053,130,4107,3894,326,343,357,1357,3217,2870,100,1105.279251,1049.524483,671,2430,3040,220,401,2561,3078,2412,2873,28.601294,517,584,430,370,567,536,447,0,2482.956459,1922.029802,6.413427
2276.5854,144,4915,4813,262,27,330,1208,3371,3335,100,1138.477706,1082.676906,840,3701,3061,290,399,2988,3131,2157,2140,17.513708,327,934,618,340,473,284,134,0,3002.153585,2346.913475,6.091491
354.091904,0,912,956,0,0,38,362,687,562,48.749856,1060.977386,1032.618844,82,285,881,36,102,459,276,117,101,4.985192,7,56,32,28,34,13,12,0,495.8377,880.205922,-4.8394
2153.614463,188,2523,2566,182,68,234,845,1453,1484,98.619113,1078.637252,1027.156402,239,880,2018,151,140,1232,1279,663,667,12.48596,72,224,156,114,71,61,58,0,1750.742419,1328.260217,13.483991
1904.801537,153,8664,8355,382,486,496,2722,5986,5792,94.968391,1099.714897,1013.636755,1116,2508,8232,500,432,4896,4705,2804,2697,13.385944,412,588,582,506,323,293,241,0,5808.782915,7316.800831,1.468128
205.182938,0,582,556,0,0,0,74,290,513,1.911379,1111.722306,1111.722306,105,142,604,19,0,534,307,107,124,7.298411,14,78,42,22,18,14,13,0,530.212496,536.322981,0
2888.809088,0,4489,4261,49,134,361,1456,3593,2954,100,1068.93945,1035.918188,667,2900,2785,331,346,2517,4245,3655,4127,39.003875,876,658,488,480,1241,794,390,0,2295.07934,2387.456821,2.214683
2363.883784,0,2996,2955,39,163,316,949,2408,1914,100,1097.450799,1044.943664,470,2165,1808,243,277,1709,2405,1909,2016,27.413652,389,466,296,242,605,354,181,0,1917.733574,1720.824028,6.658048
2909.395596,76,3976,3938,751,199,780,1476,3559,2269,100,1093.554237,1003.658674,467,2790,1854,366,269,1518,4677,4356,4545,50.952915,1185,780,638,330,1822,955,160,0,2403.340167,2137.158396,10.600174
2025.468296,0,2994,2908,0,1310,507,1431,3315,1940,97.86346,968.902268,801.147035,503,993,2490,397,144,1436,4207,3969,5296,71.461341,1606,810,512,342,2262,584,235,0,2964.691696,2632.949379,16.226617
2444.164734,0,1259,1238,5,32,51,301,826,903,100,1097.516083,1055.24505,178,550,1083,71,42,783,474,238,231,7.659151,20,98,76,56,45,27,24,0,673.137848,649.298834,5.574954
2943.553802,166,5956,5830,431,69,412,1284,3953,4188,100,1137.619186,1090.716406,1180,4430,3418,316,670,3904,4191,2462,2876,18.987258,288,642,478,424,548,362,287,0,2455.118019,3004.623664,4.134142
