HD,HF,HO,HZ,IL,IN,IP,LC,LE,LG,AAN,GC
1079,0,790,236,121,21,258,345,88,43,663.883143,1
1632,0,1350,555,110,25,498,807,402,391,1266.072631,1
2611,251,2040,639,390,75,673,1379,618,601,1879.360558,1
1682,11,1291,383,174,43,433,813,463,419,1111.646445,1
9694,439,6728,1556,1278,888,2220,4925,2673,2516,5781.347185,1
2029,0,2742,568,538,91,612,2819,2624,4251,2763.559164,1
7608,273,7825,1524,1495,331,2037,10834,9539,11467,8418.828857,1
8836,1037,9547,1416,1754,539,2043,15398,14336,16232,9618.12322,1
851,77,649,174,130,70,247,662,528,539,405.647781,0
5666,8,5273,1087,837,125,1380,7366,6542,8369,4617.565631,1
2664,70,2855,742,456,8,657,3855,3598,5052,1979.944914,0
1838,0,1192,536,134,0,401,2850,2560,3355,1529.785013,1
282,0,242,69,28,0,87,144,78,76,259.872738,1
3538,16,2806,1082,269,75,987,1426,657,798,1924.656564,0
3748,71,2893,803,365,229,1048,2329,1409,1575,2503.048371,0
3284,490,1105,49,26,0,277,2679,2064,2023,499.53377,1
9692,310,9010,1877,1172,504,2534,11523,9953,12357,5552.881289,1
7110,33,6344,1092,820,580,1937,8380,7491,9407,4489.592527,1
4076,314,3361,968,572,234,1197,3383,2533,3082,2382.961233,0
3512,0,2033,1346,213,16,748,1298,632,925,2965.047889,1
2985,144,3215,602,610,150,744,3974,3416,3824,3223.951222,1
2154,0,1642,284,253,192,498,893,470,429,1555.233755,1
1410,0,923,352,117,85,499,813,553,763,927.999042,0
2489,1129,748,71,157,69,386,1298,711,623,495.77762,1
2152,157,1482,385,335,138,486,1050,481,522,1654.448308,1
4074,193,2185,713,372,309,850,2770,1831,2051,2203.965268,1
2136,0,1791,650,105,0,691,972,511,596,851.0308,0
7419,25,2165,704,273,213,1098,3806,1923,2086,2618.740605,1
2042,70,1715,545,237,72,557,1043,355,239,1119.380343,0
7946,135,8291,1860,1096,96,2178,11671,10208,12045,6209.490494,1
8681,568,7875,2073,1324,176,2205,9065,8166,11567,8306.489506,1
998,87,610,157,134,68,224,548,442,523,394.350081,1
7422,351,4823,1416,753,514,1940,4123,3259,4033,3341.253845,1
529,13,411,127,49,53,161,250,190,272,247.486363,1
723,50,721,109,125,64,153,853,688,768,710.253856,1
2500,218,1622,384,240,97,512,1586,1160,1465,1146.116013,1
